,sample,study,project,condition,rep_id,contact,creator,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,Biological Replicates,R1,R2,BAM,alignment,DOI,GEO,Published,SRX,Run,Notes,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ecoli_00001,control__wt_glc__1,Control,control,wt_glc,1,Sangwoo Seo,Sangwoo Seo,4/17/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,,2,,,control__wt_glc__1.bam,94.33,doi.org/10.1101/080929,GSE65643,1,SRX865357,SRR1787590,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,control:wt_glc,TRUE,TRUE
ecoli_00002,control__wt_glc__2,Control,control,wt_glc,2,Sangwoo Seo,Sangwoo Seo,4/17/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,,2,,,control__wt_glc__2.bam,94.24,doi.org/10.1101/080929,GSE65643,1,SRX865358,SRR1787591,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,control:wt_glc,TRUE,TRUE
ecoli_00011,acid__wt_ph5__1,Acid,acid,wt_ph5,1,Sangwoo Seo,Sangwoo Seo,7/15/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,,Batch,,No,,MiSeq,,2,,,acid__wt_ph5__1.bam,97.99,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895926,SRR1824557,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:wt_ph5,TRUE,TRUE
ecoli_00012,acid__wt_ph5__2,Acid,acid,wt_ph5,2,Sangwoo Seo,Sangwoo Seo,7/15/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,,Batch,,No,,MiSeq,,2,,,acid__wt_ph5__2.bam,98.37,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895927,SRR1824558,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:wt_ph5,TRUE,TRUE
ecoli_00019,oxidative__wt_pq__1,Oxidative,oxidative,wt_pq,1,Sangwoo Seo,Sangwoo Seo,8/27/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,,Batch,0,No,,MiSeq,,2,,,oxidative__wt_pq__1.bam,98.7,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871628,SRR1796598,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:wt_pq,TRUE,TRUE
ecoli_00020,oxidative__wt_pq__2,Oxidative,oxidative,wt_pq,2,Sangwoo Seo,Sangwoo Seo,8/27/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,,Batch,0,No,,MiSeq,,2,,,oxidative__wt_pq__2.bam,98.51,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871629,SRR1796599,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:wt_pq,TRUE,TRUE
ecoli_00056,omics__bw_ac__1,Omics,omics,bw_ac,1,Donghyuk Kim,Donghyuk Kim,1/12/2015,Escherichia coli BW25113,BW25113,M9,acetate(3.5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.2,No,,MiSeq,,2,,,omics__bw_ac__1.bam,97.8,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661387,SRR1525098,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_ac,TRUE,TRUE
ecoli_00057,omics__bw_ac__2,Omics,omics,bw_ac,2,Donghyuk Kim,Donghyuk Kim,1/12/2015,Escherichia coli BW25113,BW25113,M9,acetate(3.5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.2,No,,MiSeq,,2,,,omics__bw_ac__2.bam,98.04,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661388,SRR1525099,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_ac,TRUE,TRUE
ecoli_00058,omics__bw_fum__1,Omics,omics,bw_fum,1,Donghyuk Kim,Donghyuk Kim,1/12/2015,Escherichia coli BW25113,BW25113,M9,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.31,No,,MiSeq,,2,,,omics__bw_fum__1.bam,97.94,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661389,SRR1525100,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_fum,TRUE,TRUE
ecoli_00059,omics__bw_fum__2,Omics,omics,bw_fum,2,Donghyuk Kim,Donghyuk Kim,1/12/2015,Escherichia coli BW25113,BW25113,M9,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.31,No,,MiSeq,,2,,,omics__bw_fum__2.bam,98.32,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661390,SRR1525101,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_fum,TRUE,TRUE
