genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.1	b0002	VBIEscCol129921_0001	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	00260	Glycine, serine and threonine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.1	b0002	VBIEscCol129921_0001	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	00270	Cysteine and methionine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.1	b0002	VBIEscCol129921_0001	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	00300	Lysine biosynthesis
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.1	b0002	VBIEscCol129921_0001	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	2.7.2.4	Aspartate kinase	00260	Glycine, serine and threonine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.1	b0002	VBIEscCol129921_0001	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	2.7.2.4	Aspartate kinase	00270	Cysteine and methionine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.1	b0002	VBIEscCol129921_0001	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	2.7.2.4	Aspartate kinase	00300	Lysine biosynthesis
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.2	b0003	VBIEscCol129921_0002	thrB	Homoserine kinase (EC 2.7.1.39)	2.7.1.39	Homoserine kinase	00260	Glycine, serine and threonine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.3	b0004	VBIEscCol129921_0003	thrC	Threonine synthase (EC 4.2.3.1)	4.2.3.1	Threonine synthase	00260	Glycine, serine and threonine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.3	b0004	VBIEscCol129921_0003	thrC	Threonine synthase (EC 4.2.3.1)	4.2.3.1	Threonine synthase	00750	Vitamin B6 metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.7	b0008	VBIEscCol129921_0007	talB	Transaldolase (EC 2.2.1.2)	2.2.1.2	Transaldolase	00030	Pentose phosphate pathway
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.22	b0025	VBIEscCol129921_0022	ribF	FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)	2.7.1.26	Riboflavin kinase	00740	Riboflavin metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.22	b0025	VBIEscCol129921_0022	ribF	FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)	2.7.7.2	FAD synthetase	00740	Riboflavin metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.23	b0026	VBIEscCol129921_0023	ileS	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	6.1.1.5	Isoleucine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.30	b0032	VBIEscCol129921_0030	carA	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	00240	Pyrimidine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.30	b0032	VBIEscCol129921_0030	carA	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	00250	Alanine, aspartate and glutamate metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.31	b0033	VBIEscCol129921_0031	carB	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	00240	Pyrimidine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.31	b0033	VBIEscCol129921_0031	carB	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	00250	Alanine, aspartate and glutamate metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.38	b0039	VBIEscCol129921_0038	caiA	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	1.3.99.-	With other acceptors.	00071	Fatty acid metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.38	b0039	VBIEscCol129921_0038	caiA	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	1.3.99.-	With other acceptors.	00280	Valine, leucine and isoleucine degradation
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.38	b0039	VBIEscCol129921_0038	caiA	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	1.3.99.-	With other acceptors.	00281	Geraniol degradation
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.38	b0039	VBIEscCol129921_0038	caiA	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	1.3.99.-	With other acceptors.	00362	Benzoate degradation via hydroxylation
511145.12	Escherichia coli str. K-12 substr. MG1655	fig|511145.12.peg.38	b0039	VBIEscCol129921_0038	caiA	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	1.3.99.-	With other acceptors.	00626	Naphthalene and anthracene degradation
